original values				detectEVE	original values											detectEVE values												
Contig	name	Host_species	Location	locus	Orientation	Best_viral_match	NR evalue	PFAM evalue	region	element																		
idAnoDarlMG_H_01.Chr2	AdarChu7	Anopheles darlingi	53816725-53818734	NC_064874.1_53816779-53817924:+	#ERROR!	Ixodes holocyclus	5.00E-74	n.s.	2010/669	Envelope glycoprotein	ssRNA-	Chuviridae	Genoa virus	26.2 %	2010	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE059	high	37	maybe-viral (6), viral (2), non-viral (1)	uncharacterized protein (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1), UDB Viruses (1), VDB (1)	1.84E-257	99	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda		
idAnoDarlMG_H_01.Chr2	AdarChu8	Anopheles darlingi	72897396-72899393	NC_064874.1_72897450-72898595:+	#ERROR!	Ixodes holocyclus	8.00E-75	n.s.	1998/665	Envelope glycoprotein	ssRNA-	Chuviridae	Genoa virus	26.4 %	1998	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE060	high	37	maybe-viral (6), viral (2), non-viral (1)	uncharacterized protein (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1), UDB Viruses (1), VDB (1)	1.70E-259	99.7	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda		
idAnoDarlMG_H_01.Chr2	AdarChu9	Anopheles darlingi	35169817-35171217	NC_064874.1_35170018-35171163:-	-	Ixodes persulcatus	5.00E-50	n.s.	1401/466	Glycoprotein	ssRNA-	Chuviridae	Yanbian Chuvi tick virus 1	27.8 %	1401	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE058	high	37	maybe-viral (6), viral (2), non-viral (1)	uncharacterized protein (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1), UDB Viruses (1), VDB (1)	1.27E-258	99.5	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda		
idAnoDarlMG_H_01.Chr2	AdarPhas1	Anopheles darlingi	56065006-56066043	NC_064874.1_56065006-56066040:+	#ERROR!	Anopheles triannulatus	0	n.s.	1038–345	Nucleoprotein	ssRNA-	Phasmaviridae	Anopheles triannulatus orthophasmavirus	87.2 %	1038	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE003	high	100	viral (3)	VDB (2), capsid (1)	2.32E-212	85.2	Nucleocapsid protein n=6 Tax=root  RepID=A0A481XUC0_9VIRU	nucleocapsid protein [Anopheles triannulatus orthophasmavirus] acc=YP_010086187.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota		
idAnoDarlMG_H_01.Chr2	AdarPhas3	Anopheles darlingi	56528519-56529313	NC_064874.1_56528519-56529295:+	#ERROR!	Culiseta longiareolata	6.00E-81	n.s.	795/264	Putative capsid protein	ssRNA-	Phasmaviridae	Soufli partiti-like virus	87.2 %	795	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE005	high	100	viral (4)	VDB (3), UDB Viruses (1)	2.71E-103	56.5	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr2	AdarChu6	Anopheles darlingi	56169282-56171267	NC_064874.1_56170320-56170916:+	#ERROR!	Odonata	1.00E-84	n.s.	1986/661	Envelope glycoprotein	ssRNA-	Chuviridae	Hubei chuvirus-like virus 1	28.6 %	1986	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE052	high	41	maybe-viral (10), viral (5), non-viral (2)	glycoprotein protein (4), uncharacterized protein (4), VDB (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (1)	1.83E-117	86.9	Glycoprotein (Fragment) n=6 Tax=Culicidae  RepID=A0A2M4ARI2_9DIPT	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda		
idAnoDarlMG_H_01.Chr2	AdarChu7	Anopheles darlingi	53816725-53818734	NC_064874.1_53817790-53818386:+	#ERROR!	Ixodes holocyclus	5.00E-74	n.s.	2010/669	Envelope glycoprotein	ssRNA-	Chuviridae	Genoa virus	26.2 %	2010	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE050	high	41	maybe-viral (10), viral (5), non-viral (2)	glycoprotein protein (4), uncharacterized protein (4), VDB (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (1)	1.76E-115	85.4	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda		
idAnoDarlMG_H_01.Chr2	AdarChu8	Anopheles darlingi	72897396-72899393	NC_064874.1_72898461-72899057:+	#ERROR!	Ixodes holocyclus	8.00E-75	n.s.	1998/665	Envelope glycoprotein	ssRNA-	Chuviridae	Genoa virus	26.4 %	1998	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE053	high	41	maybe-viral (10), viral (5), non-viral (2)	glycoprotein protein (4), uncharacterized protein (4), VDB (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (1)	1.76E-115	85.4	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda		
idAnoDarlMG_H_01.Chr2	AdarPhas2	Anopheles darlingi	56064690-56065061	NC_064874.1_56064690-56065049:+	#ERROR!	Anopheles triannulatus	4.00E-67	n.s.	372/123	No detected	ssRNA-	Phasmaviridae	Anopheles triannulatus orthophasmavirus	79.2 %	372	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	4.16E-67	79.2	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota		
idAnoDarlMG_H_01.Chr2	AdarPhas2	Anopheles darlingi	56064690-56065061	NC_064874.1_56065006-56066040:+	#ERROR!	Anopheles triannulatus	4.00E-67	n.s.	372/123	No detected	ssRNA-	Phasmaviridae	Anopheles triannulatus orthophasmavirus	79.2 %	372	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE003	high	100	viral (3)	VDB (2), capsid (1)	2.32E-212	85.2	Nucleocapsid protein n=6 Tax=root  RepID=A0A481XUC0_9VIRU	nucleocapsid protein [Anopheles triannulatus orthophasmavirus] acc=YP_010086187.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota		
idAnoDarlMG_H_01.Chr2	AdarPhas1	Anopheles darlingi	56065006-56066043	NC_064874.1_56064690-56065049:+	#ERROR!	Anopheles triannulatus	0	n.s.	1038–345	Nucleoprotein	ssRNA-	Phasmaviridae	Anopheles triannulatus orthophasmavirus	87.2 %	1038	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE002	high	100	viral (2)	UDB Viruses (1), VDB (1)	4.16E-67	79.2	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	Putative NSs protein n=1 Tax=Anopheles triannulatus orthophasmavirus  RepID=A0A481XU50_9VIRU	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Ellioviricetes;o__Bunyavirales;f__Phasmaviridae;g__Orthophasmavirus;s__Orthophasmavirus anophelae	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarChu1	Anopheles darlingi	33392798-33394807	NC_064875.1_33393608-33394753:-	-	Coquillettidia venezuelensis	8.00E-167	n.s.	2010/669	Envelope glycoprotein	SsRNA-	Chuviridae	Atrato Chu-like virus 1	37.2 %	2010	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE061	high	37	maybe-viral (6), viral (2), non-viral (1)	uncharacterized protein (3), polyprotein protein (2), annotated protein of Eukaryota (1), glycoprotein protein (1), UDB Viruses (1), VDB (1)	1.70E-259	99.7	Putative polyprotein n=1 Tax=Anopheles darlingi  RepID=A0A2M4CVY8_ANODA	glycoprotein [Gurupi chuvirus-like 1] acc=QPF16715.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 1	Arthropoda		
idAnoDarlMG_H_01.Chr3	AdarRibo1	Anopheles darlingi	43435409-43436617	NC_064875.1_43435601-43436614:+	#ERROR!	Hexapoda	2.00E-42	n.s.	1209/402	No detected	N/A	Riboviria	Wuhan insect virus 23	35.9 %	1209	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE043	high	69	viral (5), maybe-viral (4)	uncharacterized protein (4), VDB (3), UDB Viruses (2)	5.84E-56	37.1	uncharacterized protein LOC128274645 n=1 Tax=Anopheles cruzii  RepID=UPI0022EC1E8A	hypothetical protein [Partitiviridae sp.] acc=QYW05753.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Partitiviridae sp.	Arthropoda		
idAnoDarlMG_H_01.Chr3	AdarParti3	Anopheles darlingi	33435425-33436072	NC_064875.1_33435055-33436072:-	-	Anopheles darlingi	2.00E-84	n.s.	648/215	Putative capsid protein	dsRNA	Partitiviridae	Atrato Partiti-like virus 2	60.3 %	648	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE041	high	100	viral (4)	VDB (3), UDB Viruses (1)	1.26E-144	60.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr3	AdarParti5	Anopheles darlingi	33495264-33495911	NC_064875.1_33494894-33495911:-	-	Anopheles darlingi	2.00E-84	n.s.	648/215	Putative capsid protein	dsRNA	Partitiviridae	Atrato Partiti-like virus 2	60.3 %	648	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE042	high	100	viral (4)	VDB (3), UDB Viruses (1)	1.26E-144	60.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr3	AdarChu3	Anopheles darlingi	32265299-32266228	NC_064875.1_32265299-32265895:+	#ERROR!	Stegomyia albopicta	8.00E-143	n.s.	930/309	Envelope glycoprotein	ssRNA-	Chuviridae	Kaiowa virus	60.1 %	930	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE049	high	45	maybe-viral (10), viral (7), non-viral (2)	VDB (5), glycoprotein protein (4), uncharacterized protein (4), annotated protein of Eukaryota (2), polyprotein protein (2), UDB Viruses (2)	4.48E-116	84.9	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	glycoprotein [Gurupi chuvirus-like 2] acc=QPF16716.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Jingchuvirales;f__Chuviridae;g__unclassified Chuviridae genus;s__Gurupi chuvirus-like 2	Arthropoda		
idAnoDarlMG_H_01.Chr3	AdarParti1	Anopheles darlingi	32446486-32446926	NC_064875.1_32446377-32447465:+	#ERROR!	Coquillettidia richiardii	2.00E-46	n.s.	441/146	No detected	dsRNA	Partitiviridae	Xanthi partiti-like virus	57.8 %	441	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE006	high	100	viral (4)	VDB (3), UDB Viruses (1)	1.33E-160	66.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr3	AdarChu4	Anopheles darlingi	32270428-32270886	NC_064875.1_32270281-32270826:+	#ERROR!	Coquillettidia venezuelensis	1.00E-29	n.s.	459/152	No detected	ssRNA-	Chuviridae	Atrato Chu-like virus 1	37.8 %	459	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE054	high	41	maybe-viral (7), viral (5), non-viral (3)	annotated protein of Eukaryota (3), glycoprotein protein (3), VDB (3), polyprotein protein (2), UDB Viruses (2), uncharacterized protein (2)	2.13E-101	80.2	Glycoprotein (Fragment) n=6 Tax=Culicidae  RepID=A0A2M4ARI2_9DIPT	glycoprotein [Kaiowa virus] acc=ASV45863.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Kaiowa virus	Arthropoda		
idAnoDarlMG_H_01.Chr3	AdarChu5	Anopheles darlingi	32271982-32272368	NC_064875.1_32271877-32272401:+	#ERROR!	Stegomyia albopicta	6.00E-63	n.s.	397/128	Envelope glycoprotein	ssRNA-	Chuviridae	Kaiowa virus	64.8 %	387	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE044	high	52	viral (10), maybe-viral (8), non-viral (3)	VDB (6), UDB Viruses (4), annotated protein of Eukaryota (3), glycoprotein protein (3), uncharacterized protein (3), polyprotein protein (2)	1.25E-84	77.3	Integrase catalytic domain-containing protein n=1 Tax=Anopheles funestus  RepID=A0A182RTS4_ANOFN	putative glycoprotein [Guato virus] acc=ANW72248.1	k__Viruses;K__unclassified Viruses kingdom;p__unclassified Viruses phylum;c__unclassified Viruses class;o__unclassified Viruses order;f__unclassified Viruses family;g__unclassified Viruses genus;s__Guato virus	Arthropoda		
idAnoDarlMG_H_01.Chr3	AdarParti2	Anopheles darlingi	32446993-32447271	NC_064875.1_32446377-32447465:+	#ERROR!	Culiseta longiareolata	2.00E-29	n.s.	279/92	No detected	dsRNA	Partitiviridae	Soufli partiti-like virus	61.9 %	279	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE006	high	100	viral (4)	VDB (3), UDB Viruses (1)	1.33E-160	66.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr3	AdarParti4	Anopheles darlingi	33435298-33435558	NC_064875.1_33435055-33436072:-	-	Culiseta longiareolata	5.00E-12	n.s.	261/86	No detected	dsRNA	Partitiviridae	Soufli partiti-like virus	51.5 %	261	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE041	high	100	viral (4)	VDB (3), UDB Viruses (1)	1.26E-144	60.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr3	AdarParti6	Anopheles darlingi	33495137-33495397	NC_064875.1_33494894-33495911:-	-	Culiseta longiareolata	5.00E-12	n.s.	281/86	No detected	dsRNA	Partitiviridae	Soufli partiti-like virus	51.5 %	261	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE042	high	100	viral (4)	VDB (3), UDB Viruses (1)	1.26E-144	60.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	putative capsid protein [Atrato Partiti-like virus 2] acc=QHA33903.1	k__Viruses;K__Orthornavirae;p__Pisuviricota;c__Duplopiviricetes;o__Durnavirales;f__Partitiviridae;g__unclassified Partitiviridae genus;s__Atrato Partiti-like virus 2	Pisuviricota		
idAnoDarlMG_H_01.Chr3	AdarRha2	Anopheles darlingi	32517791-32517982	NC_064875.1_32517270-32518069:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE007	high	100	viral (5)	VDB (3), UDB Viruses (2)	8.53E-32	31.4	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha3	Anopheles darlingi	32518272-32518463	NC_064875.1_32518024-32518550:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63*	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE008	high	100	viral (4)	UDB Viruses (2), VDB (2)	2.95E-24	33.3	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha4	Anopheles darlingi	32521319-32521510	NC_064875.1_32520798-32521597:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE010	high	100	viral (5)	VDB (3), UDB Viruses (2)	1.10E-30	31.4	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha5	Anopheles darlingi	32524840-32525031	NC_064875.1_32524592-32525118:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE013	high	100	viral (4)	UDB Viruses (2), VDB (2)	5.01E-23	32.2	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha6	Anopheles darlingi	32525321-32525512	NC_064875.1_32525073-32525599:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1/%	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE014	high	100	viral (4)	UDB Viruses (2), VDB (2)	1.15E-24	32.8	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha7	Anopheles darlingi	32524359-32524550	NC_064875.1_32523838-32524637:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE012	high	100	viral (5)	VDB (3), UDB Viruses (2)	8.02E-31	31	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha8	Anopheles darlingi	32528365-32528556	NC_064875.1_32527844-32528643:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE016	high	100	viral (5)	VDB (3), UDB Viruses (2)	4.23E-31	31.4	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha9	Anopheles darlingi	32531405-32531596	NC_064875.1_32530884-32531683:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE018	high	100	viral (5)	VDB (3), UDB Viruses (2)	4.23E-31	31.4	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha10	Anopheles darlingi	32534926-32535117	NC_064875.1_32534678-32535204:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE021	high	100	viral (4)	UDB Viruses (2), VDB (2)	5.01E-23	32.2	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha11	Anopheles darlingi	32535407-32535598	NC_064875.1_32535159-32535685:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63*	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE022	high	100	viral (4)	UDB Viruses (2), VDB (2)	1.15E-24	32.8	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha12	Anopheles darlingi	32534445-32534636	NC_064875.1_32533924-32534723:-	-	Culex tritaeniorhynchus	2.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE020	high	100	viral (5)	VDB (3), UDB Viruses (2)	8.02E-31	31	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha13	Anopheles darlingi	32538451-32538642	NC_064875.1_32537930-32538729:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE024	high	100	viral (5)	VDB (3), UDB Viruses (2)	4.23E-31	31.4	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
idAnoDarlMG_H_01.Chr3	AdarRha14	Anopheles darlingi	32542453-32542644	NC_064875.1_32542205-32542731:-	-	Culex tritaeniorhynchus	3.00E-03	n.s.	192/63	Glycoprotein; Class III	ssRNA-	Rhabdoviridae	Culex tritaeniorhynchus rhabdovirus	46.1 %	192	GCF_943734745.1_idAnoDarlMG_H_01_genomic_EVE028	high	100	viral (4)	UDB Viruses (2), VDB (2)	5.55E-24	32.2	hypothetical protein [Merida virus] acc=QGA70898.1	hypothetical protein [Merida virus] acc=QGA70898.1	k__Viruses;K__Orthornavirae;p__Negarnaviricota;c__Monjiviricetes;o__Mononegavirales;f__Rhabdoviridae;g__Merhavirus;s__Merhavirus merida	Negarnaviricota		
